FechaVenta,CodigoMarca,ModeloAuto,ColorAuto,TipoAuto,Forecast_VentasUSD
10/16/2025,2,Ranger,Plateado,Pickup,32765.96387
10/16/2025,1,Hilux,Plateado,Pickup,27577.06382
10/16/2025,1,Corolla,Blanco,Sedán,27667.61207
10/16/2025,4,Kona,Gris,Pickup,23066.9927
10/16/2025,3,Serie 5,Negro,SUV,58226.22465
10/16/2025,4,Kona,Azul,Coupé,25103.69656
10/16/2025,2,Mustang,Plateado,SUV,30841.4454
10/16/2025,4,Elantra,Plateado,Coupé,27794.13158
10/16/2025,4,Santa Fe,Negro,Pickup,24127.38729
10/16/2025,1,Hilux,Gris,Pickup,27888.07833
10/16/2025,1,Hilux,Naranja,Camioneta,28329.5989
10/16/2025,1,Camry,Plateado,SUV,27869.01723
10/16/2025,2,Mustang,Blanco,Pickup,34099.7561
10/16/2025,3,Z4,Plateado,Sedán,63624.13913
10/16/2025,3,X5,Plateado,Camioneta,58358.43673
10/16/2025,1,Yaris,Azul,Hatchback,27769.52072
10/16/2025,1,Corolla,Blanco,SUV,28795.64563
10/16/2025,2,Ranger,Blanco,Camioneta,32234.06793
10/16/2025,2,Mustang,Plateado,Pickup,33798.9563
10/16/2025,1,Corolla,Plateado,Camioneta,25850.3483
10/16/2025,4,Tucson,Rojo,SUV,24466.73525
10/16/2025,1,Hilux,Azul,Sedán,29895.7558
10/16/2025,1,Camry,Rojo,Hatchback,29341.63475
10/16/2025,3,Serie 5,Gris,SUV,59759.4847
10/16/2025,1,Corolla,Gris,Camioneta,28353.1843
10/16/2025,2,Focus,Verde,Sedán,30327.10845
10/16/2025,2,Mustang,Blanco,Camioneta,32490.26617
10/16/2025,4,Creta,Azul,Hatchback,24862.0291
10/16/2025,4,Creta,Negro,Sedán,25099.3747
10/16/2025,2,Explorer,Naranja,Camioneta,35082.22607
10/16/2025,1,Yaris,Naranja,Sedán,28003.6591
10/16/2025,4,Tucson,Negro,Sedán,26431.7935
10/16/2025,4,Elantra,Blanco,Pickup,27048.1381
10/16/2025,3,X5,Negro,Coupé,58492.15694
10/16/2025,3,Serie 5,Rojo,SUV,57566.6691
10/16/2025,4,Creta,Negro,Camioneta,25554.967
10/16/2025,3,X3,Plateado,Coupé,57411.9743
10/16/2025,4,Kona,Naranja,Camioneta,21977.2476
10/16/2025,1,Camry,Negro,Coupé,26723.49562
10/16/2025,2,Explorer,Naranja,Pickup,34720.6013
10/16/2025,4,Elantra,Negro,Pickup,24964.63418
10/16/2025,2,Ranger,Blanco,Pickup,33182.67925
10/16/2025,4,Tucson,Negro,Pickup,25582.18727
10/16/2025,1,Camry,Rojo,Coupé,29136.52795
10/16/2025,2,Mustang,Naranja,SUV,30702.86294
10/16/2025,3,Serie 5,Naranja,Pickup,63850.41307
10/16/2025,1,Yaris,Gris,Pickup,27679.68434
10/16/2025,1,Corolla,Verde,Coupé,27951.6284
10/16/2025,2,Ranger,Rojo,Camioneta,32799.79883
10/16/2025,3,Z4,Plateado,Hatchback,60440.10827
10/16/2025,1,Hilux,Gris,Sedán,28906.69774
10/16/2025,3,Serie 3,Blanco,Coupé,67254.1465
10/16/2025,4,Santa Fe,Naranja,Pickup,21727.27702
10/16/2025,3,X5,Gris,SUV,63852.798
10/16/2025,1,Hilux,Gris,Hatchback,26610.11743
10/16/2025,2,Escape,Plateado,Hatchback,33100.1141
10/16/2025,2,Explorer,Blanco,Pickup,32657.17235
10/16/2025,2,Ranger,Verde,Coupé,34374.63982
10/16/2025,3,Serie 5,Naranja,Hatchback,62483.2865
10/16/2025,1,Hilux,Blanco,Pickup,29016.26667
10/16/2025,4,Tucson,Verde,Coupé,27453.7041
10/16/2025,3,Z4,Naranja,Sedán,62789.22594
10/16/2025,2,Explorer,Gris,Sedán,32668.36973
10/16/2025,3,Serie 3,Naranja,Pickup,63425.02975
10/16/2025,4,Creta,Azul,Coupé,25917.0064
10/16/2025,2,Focus,Gris,Camioneta,31091.61575
10/16/2025,1,Hilux,Azul,Hatchback,27136.48922
10/16/2025,3,Serie 5,Azul,Camioneta,56103.55925
10/16/2025,4,Elantra,Azul,Sedán,24350.90968
10/16/2025,4,Elantra,Blanco,SUV,27032.41153
10/16/2025,3,X3,Plateado,Pickup,62191.90285
10/16/2025,1,Hilux,Verde,Hatchback,27445.20992
10/16/2025,1,Camry,Negro,Pickup,27663.96712
10/16/2025,1,Corolla,Naranja,Pickup,27445.7139
10/16/2025,2,Ranger,Negro,Pickup,33003.64701
10/16/2025,4,Creta,Gris,SUV,25071.0498
10/16/2025,3,Serie 3,Verde,Camioneta,61273.7668
10/16/2025,1,Hilux,Azul,SUV,30187.23727
10/16/2025,2,Mustang,Naranja,Sedán,31853.61547
10/16/2025,1,Corolla,Naranja,Sedán,28026.61023
10/16/2025,4,Tucson,Gris,Coupé,26807.2352
10/16/2025,1,Corolla,Azul,SUV,29408.09955
10/16/2025,4,Santa Fe,Plateado,Sedán,24434.42337
10/16/2025,4,Kona,Plateado,SUV,25129.86913
10/16/2025,3,Z4,Gris,Pickup,61456.48146
10/16/2025,3,X5,Naranja,Camioneta,59880.4239
10/16/2025,2,Ranger,Naranja,Sedán,32373.05511
10/16/2025,1,Yaris,Negro,Pickup,27942.93054
10/16/2025,4,Elantra,Verde,SUV,24983.73048
10/16/2025,4,Santa Fe,Blanco,Camioneta,25279.90063
10/16/2025,2,Ranger,Rojo,Pickup,32791.3921
10/16/2025,3,Serie 3,Gris,Pickup,63625.36408
10/16/2025,2,Focus,Gris,Hatchback,32809.6074
10/16/2025,1,Camry,Negro,Sedán,25665.44633
10/16/2025,2,Escape,Verde,SUV,31184.685
10/16/2025,3,Serie 5,Negro,Hatchback,60738.8231
10/16/2025,4,Elantra,Naranja,Camioneta,23722.5164
10/16/2025,2,Explorer,Blanco,SUV,29516.89237
10/16/2025,2,Mustang,Rojo,Pickup,33021.6738
10/16/2025,4,Kona,Plateado,Sedán,23826.51165
10/16/2025,2,Escape,Rojo,Sedán,33934.7326
10/16/2025,3,Z4,Rojo,Camioneta,66087.1053
10/16/2025,1,Camry,Gris,Sedán,28431.51837
10/16/2025,3,X3,Azul,Sedán,65338.8251
10/16/2025,4,Elantra,Verde,Sedán,25582.4096
10/16/2025,3,X3,Rojo,Hatchback,63053.97927
10/16/2025,1,RAV4,Gris,Coupé,30820.14999
10/16/2025,3,Serie 5,Gris,Pickup,59689.76544
10/16/2025,1,Hilux,Verde,Sedán,30973.32083
10/16/2025,2,Ranger,Gris,Hatchback,32451.2412
10/16/2025,4,Elantra,Gris,Coupé,27626.2694
10/16/2025,3,Z4,Azul,Pickup,62376.93163
10/16/2025,2,Explorer,Verde,Hatchback,30037.76285
10/16/2025,1,Corolla,Naranja,Hatchback,27555.09652
10/16/2025,4,Elantra,Rojo,Coupé,26825.31985
10/16/2025,2,Escape,Verde,Hatchback,30664.3101
10/16/2025,4,Elantra,Blanco,Sedán,25814.1544
10/16/2025,3,X3,Blanco,Camioneta,57322.2055
10/16/2025,2,Mustang,Gris,Camioneta,29907.4368
10/16/2025,3,Serie 5,Plateado,Camioneta,60223.5253
10/16/2025,4,Kona,Azul,Pickup,22453.64517
10/16/2025,1,Corolla,Gris,Pickup,27331.77618
10/16/2025,2,Focus,Plateado,Camioneta,31967.29425
10/16/2025,3,X3,Negro,Pickup,65456.2935
10/16/2025,4,Santa Fe,Gris,Sedán,23938.84383
10/16/2025,4,Tucson,Naranja,Sedán,25887.9101
10/16/2025,1,Hilux,Negro,Coupé,27268.85262
10/16/2025,4,Santa Fe,Rojo,Camioneta,24312.7447
10/16/2025,2,Mustang,Naranja,Hatchback,32003.36239
10/16/2025,1,RAV4,Gris,Sedán,29830.7387
10/16/2025,2,Explorer,Negro,Coupé,35016.54295
10/16/2025,4,Santa Fe,Rojo,SUV,25582.16477
10/16/2025,3,X3,Blanco,Coupé,65514.023
10/16/2025,2,Explorer,Gris,Camioneta,32309.03487
10/16/2025,1,Corolla,Plateado,Pickup,25316.34715
10/16/2025,4,Kona,Plateado,Camioneta,25333.5035
10/16/2025,1,Yaris,Plateado,Coupé,27336.89909
10/16/2025,1,RAV4,Blanco,Pickup,28677.00817
10/16/2025,3,X3,Azul,Pickup,62735.4313
10/16/2025,2,Ranger,Gris,Camioneta,30706.53923
10/16/2025,3,Z4,Rojo,Hatchback,63951.39297
10/16/2025,1,Yaris,Naranja,Camioneta,26239.45754
10/16/2025,3,Serie 3,Gris,Coupé,66742.482
10/16/2025,3,Serie 5,Rojo,Sedán,65405.658
10/16/2025,3,X5,Blanco,Camioneta,56455.12199
10/16/2025,3,Serie 3,Verde,Sedán,63426.0686
10/16/2025,3,Serie 3,Naranja,Camioneta,62381.53295
10/16/2025,2,Ranger,Azul,Hatchback,33061.20678
10/16/2025,1,Yaris,Plateado,Sedán,27397.26595
